Date,Close,High,Low,Open,Volume
2014-10-24,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,1500
2014-10-27,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-10-28,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-10-29,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-10-30,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-10-31,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-11-03,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-11-04,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-11-05,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-11-06,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-11-07,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-11-10,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-11-11,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-11-12,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-11-13,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-11-14,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-11-17,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,3800
2014-11-18,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2014-11-19,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2014-11-20,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,1600
2014-11-21,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,0
2014-11-24,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,0
2014-11-25,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,0
2014-11-26,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,0
2014-11-27,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,1200
2014-11-28,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,0
2014-12-01,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,0
2014-12-02,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,0
2014-12-03,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,0
2014-12-04,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,0
2014-12-05,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,0
2014-12-08,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,1800
2014-12-09,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,0
2014-12-10,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,17600
2014-12-11,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-12-12,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-12-15,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-12-16,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-12-17,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-12-18,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-12-19,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-12-22,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,10800
2014-12-23,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-12-24,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-12-29,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,2100
2014-12-30,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2014-12-31,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-01-02,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-01-05,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-01-06,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-01-07,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-01-08,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-01-09,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-01-12,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-01-13,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-01-14,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-01-15,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-01-16,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,6700
2015-01-19,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-01-20,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-01-21,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-01-22,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-01-23,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-01-26,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-01-27,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-01-28,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-01-29,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-01-30,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-02-02,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,2100
2015-02-03,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-02-04,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-02-05,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-02-06,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-02-09,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-02-10,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-02-11,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-02-12,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-02-13,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-02-17,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-02-18,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-02-19,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-02-20,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-02-23,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-02-24,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-02-25,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-02-26,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-02-27,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-03-02,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-03-03,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-03-04,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-03-05,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-03-06,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-03-09,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-03-10,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-03-11,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-03-12,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-03-13,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-03-16,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-03-17,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-03-18,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-03-19,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-03-20,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-03-23,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-03-24,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-03-25,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-03-26,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-03-27,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0
2015-03-30,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,2500
2015-03-31,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-04-01,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-04-02,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-04-06,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-04-07,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-04-08,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-04-09,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-04-10,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-04-13,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-04-14,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-04-15,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-04-16,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-04-17,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-04-20,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-04-21,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-04-22,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-04-23,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-04-24,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-04-27,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-04-28,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-04-29,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-04-30,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-05-01,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
2015-05-04,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0
