Date,Close,High,Low,Open,Volume
2024-01-02,115.08000183105469,119.2249984741211,114.27799987792969,119.2249984741211,4431200
2024-01-03,112.41999816894531,114.2300033569336,111.2699966430664,113.76000213623047,3666000
2024-01-04,113.0199966430664,113.86000061035156,110.69499969482422,111.6449966430664,3675300
2024-01-05,115.98999786376953,117.04000091552734,112.98799896240234,113.0199966430664,4539500
2024-01-08,119.25,119.83999633789062,116.61000061035156,116.61000061035156,3002400
2024-01-09,121.18000030517578,121.73999786376953,118.27999877929688,118.45999908447266,2560100
2024-01-10,120.19000244140625,121.9990005493164,118.43000030517578,121.75,4219600
2024-01-11,120.87999725341797,121.86000061035156,118.43000030517578,121.45500183105469,3001600
2024-01-12,123.0,123.08999633789062,120.01000213623047,121.0,3665100
2024-01-16,123.79000091552734,124.88999938964844,121.95999908447266,122.76000213623047,3105600
2024-01-17,126.02999877929688,126.06500244140625,120.27999877929688,122.80999755859375,6172400
2024-01-18,126.91999816894531,128.63999938964844,123.91999816894531,128.2100067138672,4072000
2024-01-19,130.30999755859375,130.5,126.62000274658203,128.0500030517578,3972200
2024-01-22,132.97999572753906,136.0749969482422,131.7899932861328,133.39999389648438,4908000
2024-01-23,129.00999450683594,133.14999389648438,128.55999755859375,133.0,5797500
2024-01-24,122.58000183105469,130.4949951171875,122.22000122070312,130.4949951171875,10499800
2024-01-25,122.19000244140625,123.68900299072266,119.33999633789062,123.61000061035156,9432000
2024-01-26,123.94999694824219,124.91999816894531,120.58999633789062,121.45999908447266,4501600
2024-01-29,128.8699951171875,128.94000244140625,124.58999633789062,124.77999877929688,3609600
2024-01-30,126.83000183105469,129.05999755859375,125.51000213623047,128.36000061035156,3371500
2024-01-31,124.44000244140625,127.31999969482422,122.55000305175781,123.29000091552734,3983600
2024-02-01,126.9000015258789,127.55000305175781,123.87000274658203,125.66999816894531,3222400
2024-02-02,134.30999755859375,135.22000122070312,130.25,132.01499938964844,7697200
2024-02-05,131.13999938964844,137.92999267578125,129.8000030517578,135.13999938964844,4089800
2024-02-06,129.17999267578125,132.77999877929688,126.8499984741211,132.0800018310547,3693800
2024-02-07,130.6199951171875,132.8699951171875,130.16000366210938,131.3000030517578,3696300
2024-02-08,131.4499969482422,133.24000549316406,127.87000274658203,128.0800018310547,4361300
2024-02-09,134.91000366210938,137.85000610351562,134.67999267578125,135.80999755859375,6683400
2024-02-12,134.85000610351562,137.10499572753906,133.30999755859375,135.1300048828125,9412800
2024-02-13,131.67999267578125,138.61000061035156,123.5,126.5,15677800
2024-02-14,136.14999389648438,137.9320068359375,133.4149932861328,134.7899932861328,8112800
2024-02-15,131.83999633789062,137.4499969482422,131.32000732421875,136.36000061035156,6140200
2024-02-16,129.74000549316406,132.47999572753906,128.44000244140625,131.97999572753906,4977600
2024-02-20,127.66000366210938,129.0500030517578,125.0999984741211,128.0,3732100
2024-02-21,125.83999633789062,126.6500015258789,123.43299865722656,124.80999755859375,3498800
2024-02-22,131.1199951171875,132.52000427246094,129.75999450683594,130.1999969482422,4298600
2024-02-23,129.50999450683594,132.77999877929688,129.13499450683594,131.77000427246094,3498400
2024-02-26,129.35000610351562,131.5,128.77999877929688,130.0,2323900
2024-02-27,130.9499969482422,132.17999267578125,129.89500427246094,130.86000061035156,1963200
2024-02-28,130.47000122070312,132.0500030517578,128.8300018310547,129.7899932861328,2108100
2024-02-29,131.4600067138672,134.302001953125,129.41000366210938,130.47000122070312,5176400
2024-03-01,130.22000122070312,131.94000244140625,129.1999969482422,131.75,3470200
2024-03-04,130.6699981689453,131.8699951171875,126.4000015258789,129.38999938964844,5378200
2024-03-05,123.52999877929688,129.25,122.02999877929688,129.08999633789062,6143600
2024-03-06,124.58999633789062,127.0,122.19000244140625,126.75,4474600
2024-03-07,122.88999938964844,125.0,121.5199966430664,125.0,3884600
2024-03-08,121.30999755859375,125.69999694824219,120.77999877929688,122.0,3727200
2024-03-11,121.44999694824219,122.3499984741211,118.4000015258789,120.1500015258789,3695700
2024-03-12,122.98999786376953,123.06999969482422,119.91999816894531,121.69999694824219,3067100
2024-03-13,123.58999633789062,125.41999816894531,121.5199966430664,122.47000122070312,3302700
2024-03-14,122.6500015258789,123.8499984741211,120.08999633789062,122.62999725341797,2720700
2024-03-15,120.41999816894531,123.5,119.79000091552734,122.95999908447266,4325700
2024-03-18,120.87000274658203,122.8499984741211,120.55999755859375,121.52999877929688,2068700
2024-03-19,121.80999755859375,121.91000366210938,118.75,119.44000244140625,2699000
2024-03-20,123.44000244140625,124.08000183105469,121.2300033569336,122.63999938964844,2929600
2024-03-21,122.86000061035156,127.45999908447266,122.37999725341797,125.01000213623047,2096300
2024-03-22,123.0199966430664,123.4010009765625,121.16999816894531,122.6500015258789,1503800
2024-03-25,122.66000366210938,123.29000091552734,121.0,122.2300033569336,1140900
2024-03-26,123.44999694824219,124.29000091552734,122.37000274658203,123.56999969482422,2132900
2024-03-27,123.51000213623047,125.95999908447266,122.33000183105469,125.30999755859375,2281800
2024-03-28,123.5999984741211,125.36000061035156,122.14900207519531,123.16000366210938,1887200
2024-04-01,123.1500015258789,124.31999969482422,121.55999755859375,123.86499786376953,2187800
2024-04-02,124.38999938964844,124.55000305175781,118.73999786376953,120.48999786376953,2680300
2024-04-03,121.51000213623047,125.47000122070312,121.46499633789062,123.83000183105469,2742000
2024-04-04,120.72000122070312,125.55500030517578,120.55999755859375,122.58999633789062,2736500
2024-04-05,124.4000015258789,125.7300033569336,119.80000305175781,121.04000091552734,2528600
2024-04-08,125.76000213623047,125.9800033569336,122.83699798583984,125.33999633789062,1475400
2024-04-09,125.44000244140625,128.5,124.37999725341797,127.19999694824219,1913200
2024-04-10,125.81999969482422,125.97899627685547,121.4000015258789,121.5,3279800
2024-04-11,130.8000030517578,131.3300018310547,127.0,127.79000091552734,5160800
2024-04-12,127.51000213623047,131.5800018310547,127.44999694824219,129.08999633789062,3652400
2024-04-15,125.81999969482422,130.22000122070312,125.37999725341797,127.91000366210938,3846300
2024-04-16,126.94999694824219,128.2899932861328,124.8499984741211,125.94000244140625,3016900
2024-04-17,123.55000305175781,128.08999633789062,123.44000244140625,127.22799682617188,3477100
2024-04-18,125.0199966430664,126.7699966430664,122.4000015258789,123.9000015258789,2595600
